model,feature,baseline_accuracy,perturbed_accuracy,drop
LogisticRegression,cycle,0.9505622334238076,0.9501744862349748,0.0003877471888328321
LogisticRegression,temp_inlet,0.9505622334238076,0.9470725087243117,0.003489724699495933
LogisticRegression,temp_lpc,0.9505622334238076,0.9474602559131446,0.00310197751066299
LogisticRegression,temp_hpc,0.9505622334238076,0.9408685537029856,0.009693679720822024
LogisticRegression,fan_speed,0.9505622334238076,0.9451337727801473,0.0054284606436603156
LogisticRegression,pressure_static,0.9505622334238076,0.9226444358278403,0.027917797595967353
LogisticRegression,pressure_lpc,0.9505622334238076,0.944939899185731,0.005622334238076676
LogisticRegression,fuel_flow,0.9505622334238076,0.9461031407522296,0.004459092671578069
MLP,cycle,0.949786739046142,0.9331136099263281,0.01667312911981389
MLP,temp_inlet,0.949786739046142,0.9447460255913145,0.0050407134548274835
MLP,temp_lpc,0.949786739046142,0.9486234974796433,0.0011632415664987183
MLP,temp_hpc,0.949786739046142,0.9364094610314075,0.013377278014734428
MLP,fan_speed,0.949786739046142,0.9447460255913145,0.0050407134548274835
MLP,pressure_static,0.949786739046142,0.9152772392400155,0.0345094998061265
MLP,pressure_lpc,0.949786739046142,0.939705312136487,0.010081426909654967
MLP,fuel_flow,0.949786739046142,0.9375727025979061,0.012214036448235821
