noise_std,delay_ms,effective_accuracy,pass_fail
0.0,0,0.7566666666666667,PASS
0.0,50,0.7566666666666667,PASS
0.0,100,0.7566666666666667,PASS
0.0,150,0.0,FAIL
0.0,200,0.0,FAIL
0.1,0,0.7566666666666667,PASS
0.1,50,0.7566666666666667,PASS
0.1,100,0.7566666666666667,PASS
0.1,150,0.0,FAIL
0.1,200,0.0,FAIL
0.2,0,0.7566666666666667,PASS
0.2,50,0.7566666666666667,PASS
0.2,100,0.7566666666666667,PASS
0.2,150,0.0,FAIL
0.2,200,0.0,FAIL
0.3,0,0.7566666666666667,PASS
0.3,50,0.7566666666666667,PASS
0.3,100,0.7566666666666667,PASS
0.3,150,0.0,FAIL
0.3,200,0.0,FAIL
0.5,0,0.7566666666666667,PASS
0.5,50,0.7566666666666667,PASS
0.5,100,0.7566666666666667,PASS
0.5,150,0.0,FAIL
0.5,200,0.0,FAIL
